10000 7
A	B	C	D	E	F	Class
xa	aeb	p	ih	rm	jy	c5
aby	aeb	tk	aej	cc	bd	c5
agm	ng	aac	ait	ahj	qz	c3
agg	aba	aaz	et	gf	ap	c2
rt	aba	tu	cv	ahf	vq	c2
aij	aba	pz	pl	ls	qr	c2
akt	ng	aei	ahq	kf	aao	c3
fu	ace	wd	zl	ajq	iv	c1
af	xn	fi	ahf	ck	aeg	c4
rn	ace	y	kk	zz	st	c1
agt	xn	adi	ni	sl	os	c4
ve	ng	rx	nn	afm	fy	c3
nh	aba	aid	afj	dc	aaq	c2
qt	ng	gw	agr	afe	pg	c3
hq	ng	ox	aip	px	abi	c3
wc	aeb	tj	aas	li	h	c5
y	ace	lz	se	ln	aaw	c1
ol	xn	vh	qf	acd	th	c4
up	xn	wb	ajs	in	qi	c4
adr	aba	to	zv	jx	ajw	c2
aai	xn	aby	aix	ct	afe	c4
n	ace	ib	ky	kk	wz	c1
xn	ace	gc	qf	akc	ez	c1
tv	ace	afv	bp	cx	gx	c1
id	aba	aci	fm	afp	sf	c2
cf	aeb	tc	er	pn	eh	c5
agu	xn	fj	afa	abf	he	c4
ht	ace	aeu	hw	agn	abx	c1
gm	aeb	fq	mc	xl	gj	c5
ala	xn	aea	cq	c	adp	c4
ej	aeb	ahw	tr	bm	dt	c5
mc	ace	mw	afs	xs	am	c1
ui	aba	yj	hw	na	jo	c2
aiu	aeb	ji	zo	aaw	hz	c5
akt	aba	wb	uf	bk	acr	c2
sl	ng	akr	wo	zo	jh	c3
xu	ace	ca	agt	fu	s	c1
f	aeb	ap	x	bu	agk	c5
bz	aeb	aaa	aip	po	agc	c5
uh	ace	zq	gu	ak	ik	c1
agp	ng	aac	sa	vk	abg	c3
yk	ng	xd	wf	xx	ajr	c3
sg	ace	abe	tm	yi	cb	c1
abu	ace	uc	aey	aax	ws	c1
tg	ng	ai	k	agu	tk	c3
lj	ace	ald	mq	aht	ox	c1
hq	ng	hm	acz	fr	aff	c3
aki	ace	ahv	jw	adw	bi	c1
nt	ng	cy	bc	zt	oe	c3
adp	xn	ku	acw	oz	ov	c4
abs	ng	ahi	abv	agy	aeq	c3
abx	aba	fo	hz	adw	ajb	c2
ox	ace	ip	md	aeg	qq	c1
ay	ace	bk	hs	so	mo	c1
on	xn	abj	bt	aku	adg	c4
jb	xn	akz	qj	ix	kl	c4
acf	ng	lx	ui	xk	vx	c3
th	aba	zp	ahg	ex	aga	c2
oy	aba	hv	aeu	xs	hk	c2
tx	ace	ald	aig	pc	ya	c1
qa	aeb	akp	ia	af	acs	c5
bf	xn	wk	afm	hf	akx	c4
qy	ace	eg	ahs	lr	jp	c1
sv	ace	av	agz	ahu	pw	c1
agh	aba	fc	aan	kf	bn	c2
aat	ng	ny	ow	gf	qb	c3
vh	aeb	ec	ok	wo	en	c5
kc	aeb	gi	zp	nr	th	c5
nf	aba	adj	fd	cb	iv	c2
wz	aba	aiw	ia	gg	ald	c2
am	aeb	wy	cb	ahl	bl	c5
yl	aba	bk	add	ahw	aes	c2
aaq	aeb	pd	vc	ck	adq	c5
cu	ng	adt	la	xi	cy	c3
ij	ng	il	gb	ja	ro	c3
aii	aeb	tr	ags	fd	it	c5
ahw	xn	lf	ack	ba	to	c4
xi	xn	nw	c	aal	kx	c4
ajx	ace	hw	aey	va	ek	c1
dh	xn	jw	aat	ez	cg	c4
zz	ace	afu	kz	mf	bz	c1
agw	ng	jr	il	qf	tx	c3
qo	aba	kb	agi	afw	tt	c2
sp	ng	wo	ah	ajs	cb	c3
xz	aeb	jg	np	li	add	c5
z	ng	sy	lc	aga	aat	c3
xb	ace	zo	tc	kj	ahu	c1
bs	ace	agz	km	sh	ait	c1
kd	ng	ag	acn	cv	f	c3
ip	ace	ake	fs	tn	air	c1
cx	ace	ne	yu	act	aid	c1
dj	aba	aah	un	adh	qr	c2
ad	ace	aau	xn	uz	acj	c1
abl	ace	pp	hy	su	tm	c1
rp	ng	ajb	ahd	aai	yn	c3
vg	ace	akz	rc	pn	ma	c1
adn	xn	mv	abt	gz	pg	c4
s	ng	sz	jc	abn	vq	c3
aah	aeb	adt	cb	ajy	ij	c5
aaf	aeb	rw	abr	kz	kg	c5
pt	xn	r	fj	ajb	cc	c4
fq	ace	xt	xa	kv	akt	c1
adl	ace	xn	mu	fa	jr	c1
acs	ng	akl	pl	agr	akh	c3
alh	aeb	aa	aku	acf	jp	c5
aem	aba	kl	qq	agl	dn	c2
mg	xn	pm	ay	dg	agg	c4
aio	ng	eu	uf	xy	tl	c3
ady	xn	abj	aey	ui	tv	c4
rh	aba	abe	em	akt	ags	c2
mt	ng	od	abi	aas	tf	c3
adw	ng	afi	ael	ahb	kr	c3
afp	ng	xh	fv	ef	wu	c3
ajh	aeb	sg	lx	aem	fk	c5
ow	xn	oh	acx	hl	rm	c4
rs	xn	gm	aet	lf	pg	c4
adg	xn	abe	agt	bv	ip	c4
xc	xn	akv	cw	jc	sq	c4
og	ng	aik	xf	gs	sv	c3
up	aeb	rt	sd	ui	yt	c5
afe	aeb	kl	aja	kf	aa	c5
abg	ace	aje	xd	do	wu	c1
rp	aeb	aef	ahx	qj	yd	c5
wf	aba	ake	ew	ga	we	c2
adu	aeb	mw	mo	ku	zc	c5
kv	xn	cm	aaq	bl	cu	c4
aed	xn	ne	add	xk	ip	c4
yb	ace	akd	zo	akv	ady	c1
akt	aeb	ahw	pr	gb	ah	c5
d	aeb	aei	pn	ajm	ee	c5
wq	xn	id	ajg	aht	ad	c4
dx	ng	zt	aef	pq	xa	c3
dy	ng	vo	yj	oh	ip	c3
bv	xn	zg	afd	eo	afa	c4
fe	aeb	dn	za	zf	jb	c5
al	aba	dq	xs	bq	p	c2
ahy	xn	kx	yh	vu	jx	c4
vb	xn	aia	ey	vn	yq	c4
pt	aba	dt	qy	aab	ale	c2
ajq	xn	fv	wd	ady	gv	c4
ts	ng	ajd	aae	yj	dm	c3
fv	ace	db	dl	ald	fb	c1
nv	aeb	aga	sj	uc	dn	c5
pp	xn	vu	nz	tc	ms	c4
ahm	ng	go	zu	akp	ss	c3
qo	aba	ec	gi	b	hw	c2
hx	ng	gw	aar	ca	xa	c3
aju	xn	fu	ny	xn	zn	c4
abw	ace	adv	ce	rd	aaq	c1
aaa	ng	pq	aco	aca	aq	c3
adc	aba	qn	e	ls	pe	c2
act	ace	ade	ij	aiu	qm	c1
ld	xn	wz	o	pr	co	c4
tm	ng	ds	yt	ahk	cl	c3
vh	aba	zh	d	qm	xw	c2
adq	aeb	iw	ku	afx	acg	c5
sq	aba	ajo	air	qh	ns	c2
lu	ace	dh	alg	tv	aez	c1
ef	aba	ew	oq	wu	ahc	c2
da	ng	ka	ajy	ug	acw	c3
nv	ng	cg	aim	hk	aha	c3
aha	aba	an	aht	bv	ud	c2
yu	xn	ty	nd	oh	ky	c4
v	aeb	bo	rx	ze	nv	c5
ahy	aeb	aen	yx	ph	zn	c5
go	xn	bf	aag	ie	abx	c4
ajj	ng	aiv	db	ajh	t	c3
aao	ace	hb	nh	jf	ew	c1
adf	xn	nl	qx	aez	lg	c4
dk	xn	hg	adu	sb	aap	c4
jp	aeb	ww	ab	hf	bb	c5
io	xn	i	cm	zi	of	c4
cc	aeb	pa	wv	xc	we	c5
aao	xn	hi	uw	lz	jk	c4
vh	ace	py	xk	gg	afc	c1
acs	ace	ak	nt	kg	mo	c1
hf	ng	qm	acf	dn	fk	c3
v	aba	ug	bx	yl	aiw	c2
sc	aeb	fq	p	kw	bt	c5
xe	xn	agv	ad	aem	agb	c4
ny	aba	rs	od	ahj	md	c2
kh	ng	afu	o	ahk	kw	c3
aen	ng	abl	agl	nw	eq	c3
pn	ng	aig	ajb	mh	mn	c3
xq	aeb	ajs	oq	nx	ji	c5
ai	xn	aky	db	lr	bt	c4
aen	aba	ur	wu	f	agw	c2
qq	aba	je	abv	fh	wd	c2
aax	ace	u	zu	vv	afd	c1
all	ng	aez	adv	agw	aaz	c3
aba	ace	js	oc	pb	aix	c1
eu	aba	act	pb	oa	zy	c2
yo	aeb	akm	akr	ew	ta	c5
yx	xn	iw	dh	yq	uo	c4
aan	aba	kx	iy	mu	mx	c2
tg	xn	qk	xm	rz	adw	c4
wl	xn	aid	ni	rl	fd	c4
dq	xn	hh	rm	yo	yj	c4
ajz	ng	aie	oy	e	mx	c3
av	aeb	hu	sf	sb	ca	c5
av	ng	lq	abn	xa	aep	c3
dg	aeb	ub	zi	bd	acd	c5
g	aba	gf	wl	xh	aba	c2
acg	xn	eg	ou	ga	xu	c4
ml	ace	ge	ach	xe	aap	c1
vk	ng	ly	pg	jn	ajq	c3
xq	ace	rm	zu	ak	ft	c1
ac	aeb	dc	fs	fm	aac	c5
jq	xn	qj	yl	ady	kh	c4
vz	xn	kc	aez	abv	le	c4
ri	aeb	le	ahh	um	mz	c5
aea	aeb	qt	cn	wa	mf	c5
xq	aba	aib	rr	fc	ed	c2
acf	aeb	ln	ha	ok	qw	c5
aaq	aeb	pg	pp	zz	ix	c5
ay	ace	ib	aje	dx	abd	c1
zp	xn	aci	um	wl	m	c4
fn	aba	sb	ml	qy	io	c2
abs	ng	do	sc	fo	re	c3
og	ng	aej	rp	ais	abs	c3
xq	aeb	yw	lm	rl	ze	c5
ex	ace	add	zj	afq	ala	c1
jj	xn	in	fh	dt	mf	c4
ajq	aeb	lh	acn	zs	gm	c5
ur	aeb	oi	xq	gt	zw	c5
sb	xn	wn	aem	adn	aam	c4
jq	ace	afr	ki	akn	cb	c1
aef	aba	lf	kr	jq	agn	c2
zy	aba	gd	ut	od	agm	c2
aby	ace	ahk	ua	he	lh	c1
tp	aeb	cx	ot	ge	bt	c5
hy	ng	aif	re	ahb	lf	c3
kg	ace	agt	ap	ok	jg	c1
hz	ng	aai	qo	i	ajz	c3
pp	ace	ajd	iu	to	ajh	c1
ig	aba	fg	hd	alg	ow	c2
zj	ng	qj	jy	rs	il	c3
xe	aeb	acm	av	es	mx	c5
xi	ace	we	aee	n	abw	c1
wu	ace	aju	vx	adu	im	c1
abo	xn	or	ako	aee	ajr	c4
sz	ace	kb	afb	sm	ps	c1
akm	ace	abd	js	n	wl	c1
wa	xn	aei	alj	pe	io	c4
l	ace	yq	lu	aid	acf	c1
sk	aeb	jf	nh	sp	hj	c5
acw	xn	fm	lb	ek	sn	c4
qk	ace	adw	yw	dy	ml	c1
xh	aba	kr	alg	cl	aah	c2
sh	aba	wf	act	tt	afa	c2
akz	xn	lo	qz	ej	aji	c4
gz	ng	uu	cy	xc	qk	c3
lt	aeb	aip	nw	aem	es	c5
uu	aeb	agm	gs	akl	ahi	c5
su	ace	qq	cb	aaz	abw	c1
aas	xn	sr	do	oy	io	c4
acx	xn	fx	py	vy	ajk	c4
ait	aeb	aao	acx	pp	acw	c5
ga	aba	eu	os	bf	gn	c2
acq	aba	eh	sq	kp	dj	c2
cn	ng	yy	mu	nt	uk	c3
adg	xn	ni	ju	tx	vx	c4
ajv	ace	hx	vj	li	gg	c1
bn	ace	aic	sn	jd	zm	c1
akr	xn	na	wg	se	jf	c4
aht	ace	ahf	akt	aai	adn	c1
aea	aba	to	pa	o	adq	c2
jf	ng	aeg	abl	xz	ur	c3
alk	aba	abu	vd	zu	kj	c2
nn	ng	lw	dm	qg	xm	c3
in	aba	agc	vi	ub	am	c2
ho	aeb	bc	gf	aek	el	c5
ih	xn	ky	jo	le	abp	c4
ado	aeb	ag	ajx	agr	vk	c5
afk	aeb	bx	cw	ps	ahw	c5
aaf	ace	cn	lr	alj	ik	c1
afe	ng	adi	wv	pu	x	c3
adv	aba	lk	rk	ue	vn	c2
se	aeb	akr	to	aev	nn	c5
dn	ace	aes	um	xq	afb	c1
cx	aeb	ud	lm	adf	qz	c5
ii	xn	hr	zq	xo	aey	c4
all	xn	acv	bm	aib	ain	c4
hm	ace	ajx	acs	ahb	sy	c1
ait	xn	ads	qo	yj	aeb	c4
aim	ng	aem	ay	lf	yp	c3
kj	ace	in	is	xe	am	c1
ln	aba	aep	jp	zd	qq	c2
aeg	xn	ga	abj	afg	sk	c4
ahi	aeb	dz	xh	tn	pi	c5
cd	xn	r	p	agy	ah	c4
tc	ace	zd	jj	uj	fu	c1
alf	ace	wq	qu	adc	sm	c1
sv	ng	xt	pp	aej	mc	c3
od	aeb	v	tv	cc	ahx	c5
zf	xn	dg	ahm	r	qc	c4
ik	aeb	aar	m	th	gc	c5
gk	ace	kn	bx	abm	up	c1
yj	aeb	gv	bp	ie	fc	c5
aar	xn	qe	by	cy	lm	c4
cp	aba	ch	ke	jj	yg	c2
lc	xn	pt	yg	ais	aad	c4
yi	xn	adc	aiw	abv	ahq	c4
vi	ace	ck	fs	o	bu	c1
pc	aba	uf	fn	yq	xb	c2
gf	ace	k	bc	aew	cy	c1
ww	xn	so	ui	aju	ut	c4
jm	ace	na	qb	bg	tn	c1
agd	aba	afk	be	nt	ut	c2
hg	xn	px	uu	im	tp	c4
pc	ace	tu	tv	ha	qp	c1
ajn	xn	tp	li	aep	cs	c4
acm	aba	kd	zp	am	zq	c2
za	xn	ga	rg	ahj	sb	c4
cc	aba	uc	io	agk	acu	c2
dv	aba	ait	ne	adw	aie	c2
hk	aba	xb	hl	aee	xr	c2
ag	ng	pc	ys	wd	afs	c3
mo	xn	bn	tz	wp	ahv	c4
aid	ace	agd	o	ng	adp	c1
lo	xn	zd	wk	br	fn	c4
uf	xn	pn	ux	ia	acu	c4
mj	xn	aiz	qy	cb	lo	c4
ia	ng	yo	on	w	adj	c3
lt	ng	jb	xf	aib	bc	c3
rv	ng	ale	vl	jz	ox	c3
abu	xn	aak	acr	ahp	vq	c4
aix	aba	zp	aid	aac	ut	c2
ld	ng	afk	uw	aki	ado	c3
ny	aeb	bc	wq	kn	on	c5
dp	aba	wr	fr	fe	qi	c2
gw	aeb	vk	ads	oi	hb	c5
yv	aeb	uw	yr	agd	aav	c5
xw	aeb	cu	adk	mo	afr	c5
qn	ace	aeg	oa	kr	kw	c1
tx	ace	gp	yg	aiq	hg	c1
aaf	xn	dq	gg	rj	ahw	c4
vu	ng	x	or	cu	ig	c3
afa	ace	vy	agr	fm	xl	c1
kh	xn	ahz	dm	adu	op	c4
wj	aba	xh	ca	aji	jd	c2
dm	xn	vc	fn	ii	a	c4
ef	aba	ck	adk	aje	ha	c2
ahs	ace	s	ds	do	eg	c1
abc	aeb	aie	gl	rq	aip	c5
rs	ng	wo	jp	aag	rk	c3
es	aeb	gg	aca	abp	xv	c5
ads	aeb	afx	jn	ve	xl	c5
fh	aba	do	cy	aej	ajr	c2
aco	aeb	ba	abu	fr	zs	c5
sb	ng	km	im	adc	ahs	c3
t	xn	gw	aes	kt	oz	c4
qv	xn	rz	afa	bc	ti	c4
acv	aeb	of	ij	abj	he	c5
agx	xn	dz	ip	aa	vd	c4
aca	ace	kp	yb	aii	ul	c1
gq	aba	vu	abs	ye	t	c2
ta	aeb	ro	fw	ns	ll	c5
alg	aeb	nl	fg	ajz	nj	c5
aht	aba	mp	aep	aig	aam	c2
aw	ng	aia	agq	sy	pm	c3
aaq	ng	aca	th	ahi	hh	c3
jp	ace	bo	ae	agv	cw	c1
ahp	aeb	aih	ub	ahr	ph	c5
sj	ace	r	wg	aak	st	c1
ah	xn	vz	yt	li	ta	c4
fe	ng	xr	jl	ur	afe	c3
agz	aba	m	th	iz	sd	c2
mk	aba	afn	alf	wr	afw	c2
ge	ace	afx	aat	aeu	vn	c1
pg	ng	yl	cq	ajt	ht	c3
dc	xn	wx	abg	ta	ahs	c4
au	ace	b	qh	aiw	afr	c1
aea	xn	vj	un	mj	ada	c4
be	aba	kk	nm	dv	vb	c2
alg	ace	qz	bk	go	aco	c1
lc	xn	nn	abv	ajj	qm	c4
si	ng	nc	aib	sy	fk	c3
adq	ace	im	tw	rt	ql	c1
aem	aba	jv	mb	ajv	jp	c2
agd	aba	yi	aiq	akk	wp	c2
hi	aeb	f	gw	lp	y	c5
wd	ng	ih	aid	aix	rn	c3
zl	ace	jr	xd	up	alj	c1
za	aeb	qr	qk	js	cm	c5
wx	ng	acx	pp	mg	ay	c3
kw	aeb	ma	pj	jb	qv	c5
ux	xn	gz	uo	mn	dd	c4
agm	xn	mz	bn	gh	wq	c4
tn	aba	afw	wk	abv	b	c2
qf	aeb	sg	agh	adh	aiw	c5
ao	aeb	ib	rc	ahn	mo	c5
br	aba	di	do	ya	fj	c2
abi	ace	ko	fh	adt	ac	c1
at	ng	sq	ajx	ea	fn	c3
ms	aba	mo	all	vo	hz	c2
jz	aba	bo	d	agt	iw	c2
ado	ace	cl	cr	zu	aif	c1
aeu	ng	aja	kz	mn	nh	c3
ml	aeb	p	wv	aaw	yd	c5
ei	ace	ge	ox	ts	qx	c1
agl	ace	acv	cv	wm	uq	c1
afe	ng	cp	jr	wo	eo	c3
px	ace	bh	so	ajg	bu	c1
cc	ng	jq	ip	ko	hm	c3
aau	aba	abx	lc	g	aek	c2
lx	xn	za	hl	mu	aka	c4
gm	ng	oc	sg	agn	abz	c3
zv	xn	aep	aiw	ael	gl	c4
mj	xn	agj	mo	vv	aai	c4
de	ace	aia	agj	tk	jy	c1
fm	ng	agq	sg	m	aeq	c3
pd	ng	lv	bw	ahx	dt	c3
um	ace	bj	cc	ra	ed	c1
aja	aeb	aab	ahs	aia	so	c5
ct	aeb	aef	ake	pj	do	c5
tn	aba	yz	pd	yc	aec	c2
mm	aeb	fi	ajs	fa	ry	c5
bp	ace	adl	adz	ph	aer	c1
uz	aba	gq	yf	aje	cf	c2
agk	ng	af	cj	os	km	c3
acp	ace	lx	agu	acl	ha	c1
sq	aba	mh	aix	ahf	ady	c2
ph	ng	ab	alg	pe	sq	c3
am	ace	ks	ut	ajp	tn	c1
agf	aeb	pp	ty	aep	lj	c5
bt	ace	aif	ags	px	yh	c1
abl	ace	ti	acd	ahw	aei	c1
yq	aba	is	ahi	jg	bw	c2
cj	ng	adm	md	ek	adu	c3
hi	ng	ajx	hf	akn	ux	c3
ro	aba	aap	ur	abb	tz	c2
pi	ng	bw	aep	sf	agq	c3
rw	ng	oh	tg	rl	sf	c3
im	ace	du	ace	aaz	kt	c1
ta	aba	wt	hw	abl	lo	c2
kw	ng	adq	acp	vg	akj	c3
iw	xn	st	zp	ru	mf	c4
tq	ng	c	kl	ds	co	c3
zn	ace	jd	acc	ud	afi	c1
aik	aba	ob	il	pw	lq	c2
sm	xn	ajg	mn	nb	ir	c4
acc	aba	hk	qv	ais	aba	c2
xq	xn	ey	up	aae	fy	c4
iv	ace	ha	zh	gw	af	c1
fu	ng	ahb	ahq	xc	fu	c3
lh	aba	acu	bj	om	adf	c2
gn	ace	ne	fn	ri	fk	c1
v	aba	bl	aeq	lz	sh	c2
ru	aeb	qp	mr	ait	ph	c5
ahp	xn	ahl	mu	gx	ya	c4
es	ng	ra	oo	agc	ru	c3
va	aeb	ak	vh	sh	cv	c5
afb	aba	afy	ll	af	bk	c2
mx	aeb	ul	jj	s	agj	c5
yi	ng	acw	dg	os	abc	c3
td	aeb	cs	acm	yj	hr	c5
wc	xn	rj	alb	aet	acs	c4
ed	xn	qm	hc	ol	aky	c4
j	aeb	ms	xt	aan	bu	c5
ajk	ng	wd	aeg	akt	if	c3
uk	aba	go	yd	ht	cj	c2
bp	ng	vq	wz	aja	uh	c3
zl	ng	et	agv	qz	jw	c3
aex	aba	la	mc	dc	ahu	c2
mw	aba	nv	ms	ix	acf	c2
ph	aeb	ug	agf	lv	rj	c5
acl	aeb	lm	bn	abi	oa	c5
wk	ng	bt	adh	abn	wy	c3
yj	ng	ado	lp	kt	pl	c3
ru	aeb	iz	pp	j	gp	c5
aj	ng	cv	xg	yq	ho	c3
abw	aeb	aar	nl	ajr	ig	c5
kh	ace	ec	zs	adt	aey	c1
aft	ng	ml	lx	aih	xj	c3
oz	xn	qq	xd	aea	aic	c4
ls	aba	ma	mm	va	ff	c2
rc	ace	zq	aju	aeh	uo	c1
wl	xn	hi	dj	zw	ar	c4
aeq	ace	pj	aku	jz	jy	c1
aet	aba	aas	gp	ga	ys	c2
ox	ng	pq	aeq	vu	sk	c3
hs	xn	dv	nf	aew	yq	c4
ca	aeb	xr	qt	afi	agl	c5
agv	aba	ajs	ij	hv	agy	c2
ci	ng	gb	ahx	mc	gv	c3
dk	aeb	ur	nl	rs	os	c5
ahv	ace	agt	st	ael	yh	c1
aku	aba	age	ajt	akb	mh	c2
agy	aba	afn	wy	up	ajx	c2
ve	aba	aa	zw	ww	ez	c2
tv	ace	bh	ahy	ack	ais	c1
akd	aba	gg	akh	qm	st	c2
ajw	aeb	aef	ajo	yx	yx	c5
ajb	aeb	hu	ae	aga	mg	c5
ay	aba	fp	acy	agr	xa	c2
hr	aeb	p	nt	ach	jm	c5
tw	ace	sk	kt	agb	ps	c1
abx	aba	aim	wn	afa	adt	c2
td	ace	acy	agp	lk	mr	c1
j	ace	az	abx	all	bg	c1
uh	ng	tw	abv	mj	nm	c3
afw	ng	we	dp	jl	cr	c3
ze	aba	sc	kg	xj	ahn	c2
aig	aeb	vm	agw	fa	gg	c5
id	ng	akl	vo	kl	rz	c3
cb	ace	sj	ys	ms	adf	c1
mo	aeb	zb	aai	vo	aab	c5
adx	aeb	p	agi	cb	ge	c5
aie	xn	zr	ap	abl	afj	c4
ag	ace	r	gt	ahv	ajc	c1
afr	ace	ti	fy	iy	afx	c1
de	xn	vk	pa	ji	gl	c4
akw	ace	aht	agm	aiq	cw	c1
aiq	ng	xc	aeq	tr	ajf	c3
ace	xn	gs	zs	vy	agb	c4
pk	ng	i	tk	my	ce	c3
ahm	aeb	qk	vc	wh	ca	c5
ail	ace	ia	oi	by	ld	c1
tf	ng	acn	agf	jo	adq	c3
na	aeb	fs	fs	tm	yp	c5
dl	xn	aat	iv	js	sc	c4
jh	aeb	wn	to	add	bt	c5
zo	ng	hf	aft	jc	vr	c3
xy	aeb	gq	yo	aha	bt	c5
iz	ace	ajn	hi	ev	aa	c1
du	ace	dk	co	dm	tk	c1
oy	xn	cs	gu	akh	fj	c4
pv	ng	wi	u	qg	aio	c3
py	ace	ta	qe	akq	dj	c1
aha	ng	yt	aif	gb	wq	c3
ob	aeb	aab	va	to	ln	c5
ni	ace	d	mh	q	zc	c1
tn	xn	ahx	gs	ii	tl	c4
ahz	ng	afg	aip	hb	xd	c3
ne	xn	vy	e	ade	pz	c4
gq	ace	ip	afx	afd	ji	c1
nj	aeb	abo	yo	xk	cm	c5
vy	ng	afx	mk	ul	v	c3
ql	ace	hy	aky	agl	ay	c1
wi	aba	acc	qs	ain	aa	c2
ael	aba	afi	ds	mu	xg	c2
afb	ng	vf	dm	dp	tf	c3
aet	ng	r	xv	cw	p	c3
jj	ace	agt	yn	bv	qj	c1
zw	ace	aky	js	ahq	sk	c1
alk	aeb	o	to	ws	bc	c5
hw	ng	adz	sl	ha	uk	c3
afq	xn	py	cq	adq	oa	c4
hp	xn	wz	fv	jn	agi	c4
tv	aeb	kv	aks	aa	aha	c5
agi	xn	adq	agv	ajx	air	c4
aeu	aba	fm	vr	adb	oq	c2
mn	ng	sb	fc	wj	dh	c3
up	ace	ajv	nv	nt	uo	c1
adr	xn	kh	mc	d	jv	c4
abr	xn	akf	rt	ro	sl	c4
zz	aba	ao	cb	hg	z	c2
gc	xn	su	ahi	yy	zd	c4
he	aeb	eg	vb	bk	aeb	c5
ga	xn	agg	zd	nz	ad	c4
fb	xn	qf	aag	zq	hc	c4
uj	xn	aao	ack	agj	cx	c4
wa	aba	xn	ag	mh	fh	c2
nd	ng	sp	ajx	ay	abq	c3
ng	ace	vl	kb	pw	ajf	c1
v	aba	aiu	aic	ahb	ajn	c2
air	xn	se	gq	aey	zr	c4
ahd	xn	akl	al	cn	em	c4
ajk	ng	gi	eg	pr	iy	c3
gr	xn	ct	wb	ab	iy	c4
ag	aba	aej	hf	agj	yw	c2
qr	ng	ti	bo	je	vo	c3
ll	aeb	mf	qm	adc	alh	c5
ack	aeb	ax	aad	az	aax	c5
wp	aba	aee	pb	os	aad	c2
gs	aba	ahf	alb	abu	ks	c2
ahg	xn	ajs	acx	fn	ali	c4
xl	ng	aho	sx	pd	li	c3
tu	ng	akn	aio	aiy	iy	c3
vy	ace	is	od	aft	ahp	c1
bi	aba	lx	qy	aaf	sx	c2
agg	aba	cq	ou	wh	aaz	c2
yx	xn	adu	x	iq	zg	c4
ba	ng	lr	ta	nq	aj	c3
en	aeb	ov	go	ir	fn	c5
adr	aeb	ct	acr	vn	uh	c5
ef	xn	hr	acc	um	ajy	c4
hx	aeb	sv	adf	e	oy	c5
md	aba	akz	ce	adx	uh	c2
st	aba	lk	wo	xh	akw	c2
uf	ace	ev	acr	mz	o	c1
acj	ace	tb	zh	bl	de	c1
ev	aba	xu	nt	rp	mv	c2
t	aba	aa	ahq	do	gw	c2
ajj	aeb	ip	e	xp	afb	c5
io	aeb	bt	uc	th	qd	c5
ky	xn	aed	ajf	so	oo	c4
mb	aba	t	xl	zf	gl	c2
ait	xn	wp	oj	le	afq	c4
cz	aeb	gq	agy	ez	ae	c5
aa	ace	abg	uj	yz	cy	c1
ja	ng	bg	hu	vn	ajt	c3
bn	ace	ni	aei	mn	eo	c1
ado	aeb	aam	dm	wa	ld	c5
dt	ace	rk	xm	y	agr	c1
ahu	ace	ky	ajg	ws	jr	c1
tx	ace	ace	ht	ahk	acg	c1
sz	xn	sv	ajl	e	rz	c4
qt	aeb	go	ale	hy	gz	c5
fr	xn	vv	cg	ain	ue	c4
ahs	xn	yp	c	akm	aq	c4
aea	xn	aeb	aiz	hz	gt	c4
hk	xn	zd	xu	ai	pv	c4
ahg	xn	aji	uy	acl	kv	c4
xf	xn	agc	ka	wy	ada	c4
zx	aba	gu	ze	sg	vo	c2
tw	ace	ajc	afx	ajd	ed	c1
adx	ace	gs	kx	abi	ajc	c1
ki	ng	px	afd	am	sa	c3
ahi	aeb	bq	ahh	cw	bq	c5
vb	ace	az	ev	agh	mq	c1
tf	ace	ug	ej	aki	xx	c1
as	aeb	ib	afb	qk	mu	c5
akq	ace	ahz	dk	cq	aef	c1
yv	ng	iu	dz	ff	nq	c3
ya	ace	ws	rf	aij	na	c1
aex	aeb	adh	vr	nq	afi	c5
ajf	aba	afa	nz	ti	fg	c2
akp	aba	tm	gl	fx	op	c2
gg	ace	qz	fs	fn	ale	c1
abd	ace	qp	sa	vi	qs	c1
ro	aba	aie	ci	gf	ro	c2
th	aba	xf	aal	abk	bp	c2
ajd	ng	aib	alb	nz	sf	c3
ie	xn	afx	dn	xb	ip	c4
dr	aba	lb	md	gj	df	c2
oc	aeb	gb	dd	cz	alc	c5
kw	ng	cq	gh	akn	zk	c3
un	aba	bl	alb	abm	tj	c2
kr	aba	dv	aek	dl	aio	c2
xz	aba	acr	em	aby	kp	c2
qh	ace	uf	gk	kr	agu	c1
gd	ace	gy	akp	yr	zn	c1
aam	aba	adm	ys	gf	ajs	c2
akc	ng	nj	alf	akp	kb	c3
yp	xn	akw	gm	nk	vg	c4
ta	ng	acd	uy	kh	pk	c3
qf	ng	tr	dm	ki	alj	c3
acr	aeb	nb	xp	fz	ra	c5
ais	aba	iv	lb	z	wi	c2
st	ng	ait	aiu	aii	aei	c3
vk	xn	bl	xj	ajq	yk	c4
dc	aeb	acw	abv	uq	xd	c5
ahy	aba	hh	cr	w	so	c2
ahx	ace	vz	agv	eb	afj	c1
adh	aeb	fd	sv	rw	afg	c5
rl	ace	sf	akw	gp	kw	c1
fu	aba	td	go	jo	ug	c2
aeh	aba	et	abk	qz	jo	c2
aie	ace	aid	ht	aar	qe	c1
mw	ace	ht	jj	vk	pa	c1
zc	ace	ov	abc	afc	ne	c1
oh	aeb	nu	afy	aas	aga	c5
aas	aeb	zz	by	ux	oq	c5
en	ace	wo	fr	rp	sd	c1
